id,section,difficulty,question_no,type,question,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,choice_G,choice_H,choice_I,answer,source_answer,validation_note,validation_source,source_file
S001Q01,1,easy,1,TC1,"It is a paradox of the Victorians that they were both _____ and, through their empire, cosmopolitan.",capricious,insular,mercenary,idealistic,intransigent,,,,,B,B,,,TCSE_1-50.pdf
S001Q02,1,easy,2,TC1,"My grandma has a strong belief in all things _____: she insists, for example, that the house in which she lived as a child was haunted.",clamorous,invidious,numinous,empirical,sonorous,,,,,C,C,,,TCSE_1-50.pdf
S001Q03,1,easy,3,TC2,The (i)_____ of molecular oxygen on Earth-sized planets around other stars in the universe would not be (ii)_____ sign of life: molecular oxygen can be a signature of photosynthesis (a biotic process) or merely of the rapid escape of water from the upper reaches of a planetary atmosphere (an abiotic process).,dearth,presumption,detection,a controversial,an unambiguous,a possible,,,,C|E,C|E,,,TCSE_1-50.pdf
S001Q04,1,easy,4,TC2,"Given the (i)_____ the committees and the (ii)_____ nature of its investigation, it would be unreasonable to gainsay the committee’s conclusions at first glance.",sterling reputation of,lack of finding of,ad hoc existence of,superficial,spontaneous,exhaustive,,,,A|F,A|F,,,TCSE_1-50.pdf
S001Q05,1,easy,5,TC3,"The skin of the poison dart frog contains deadly poisons called batrachotoxins. But the (i)_____ of the toxins has remained an enigma, as the frog does not (ii)_____ them. Now an analysis suggests that the melyrid beetle is the source. Collected beetle specimens all contained batrachotoxins, suggesting that these beetles are (iii)_____ by the frogs.",effect,origin,purpose,pressure,produce,suffer from,eaten,neutralized,poisoned,B|E|G,B|E|G,,,TCSE_1-50.pdf
S001Q06,1,easy,6,TC3,"Now that photographic prints have become a popular field for collecting, auctions are becoming more (i)_____. It is not just the entry of new collectors into the field that is causing this intensification. Established collectors’ interests are also becoming more (ii)_____. Those who once concentrated on the work of either the nineteenth-century pioneers or the twentieth-century modernists are now keen to have (iii)_____ collections.",competitive,tedious,exclusive,fickle,wide-ranging,antiquarian,comprehensive,legitimate,impressive,A|E|G,A|E|G,,,TCSE_1-50.pdf
S001Q07,1,easy,7,SE,"The beauty of the scientific approach is that even when individual researchers do _____ bias or partiality, others can correct them using a framework of evidence on which everyone broadly agrees.",overreact to,deviate from,succumb to,recoil from,yield to,shrink from,,,,C|E,C|E,,,TCSE_1-50.pdf
S001Q08,1,easy,8,SE,The reconstruct known work is beautiful and also probably _____: it is the only Hebrew verse written by a woman.,singular,unique,archaic,counterfeit,valuable,fake,,,,A|B,A|B,,,TCSE_1-50.pdf
S001Q09,1,easy,9,SE,"In a book that inclines to _____, an epilogue arguing that ballet is dead arrives simply as one more overstatement.",pessimism,misinterpretation,imprecision,vagueness,exaggeration,hyperbole,,,,E|F,E|F,,,TCSE_1-50.pdf
S001Q10,1,easy,10,SE,"The political upheaval caught most people by surprise: despite the _____ warnings of some commentators, it had never seemed that imminent.",stern,prescient,prophetic,indifferent,repeated,apathetic,,,,B|C,B|C,,,TCSE_1-50.pdf
